,Full Address,LatLong
410,"332 EAST 84TH STREET New York, NY 10028",
411,"208 EAST 82ND STREET New York, NY 10028",
412,"519 EAST 86TH STREET New York, NY 10028",
413,"525 EAST 86TH STREET New York, NY 10028",
414,"72-76 EAST 79TH   STREET                  New York, NY 10075",
415,"435 EAST 85TH New York, NY 10028",
416,"435 EAST 85TH STREET New York, NY 10028",
417,"22 EAST 78TH   STREET                     New York, NY 10075",
418,"960 FIFTH AVENUE New York, NY 10075",
419,"220 EAST 82ND STREET New York, NY 10028",
420,"222 EAST 82ND STREET New York, NY 10028",
421,"401 EAST 84TH STREET                      New York, NY 10028",
422,"401 EAST 84TH   STREET                    New York, NY 10028",
423,"428 EAST 85TH STREET New York, NY 10028",
424,"510 EAST 86TH STREET New York, NY 10028",
425,"215 EAST 81ST STREET New York, NY 10028",
426,"215 EAST 81ST ST New York, NY 10028",
427,"215 EAST 81ST  STREET New York, NY 10028",
428,"430 EAST 85TH STREET New York, NY 10028",
429,"956 FIFTH AVENUE New York, NY 10075",
430,"310 EAST 83RD   STREET                    New York, NY 10028",
431,"148 EAST END AVENUE                       New York, NY 10028",
432,"419 EAST 84 STREET New York, NY 10028",
433,"12 HENDERSON PLACE                        New York, NY 10028",
434,"320 EAST 83RD STREET New York, NY 10028",
435,"888 PARK AVENUE New York, NY 10075",
436,"446 EAST 85TH   STREET New York, NY 10028",
437,"1425 THIRD AVENUE New York, NY 10028",
438,"40 EAST 78TH STREET New York, NY 10075",
439,"229 E 81ST STREET New York, NY 10028",
440,"187 EAST 80TH STREET                      New York, NY 10028",
441,"139 EAST 79 STREET New York, NY 10075",
442,"1412 3 AVENUE                             New York, NY 10028",
443,"431 EAST 84TH   STREET                    New York, NY 10028",
444,"330 EAST 83 STREET New York, NY 10028",
445,"52 EAST 78TH STREET New York, NY 10075",
446,"530 EAST 86TH ST New York, NY 10028",
447,"515 E 85TH STREET New York, NY 10028",
448,"515 EAST 85TH STREET New York, NY 10028",
449,"418 EAST 84TH   STREET                    New York, NY 10028",
450,"891 PARK AVENUE New York, NY 10075",
451,"950 FIFTH AVENUE New York, NY 10021",
452,"155 EAST 79TH STREET New York, NY 10075",
453,"334 EAST 83 STREET New York, NY 10028",
454,"334 EAST 83RD STREET New York, NY 10028",
455,"124 EAST 79TH   STREET New York, NY 10075",
456,"124 EAST 79TH STREET                      New York, NY 10075",
457,"950 FIFTH AVENUE New York, NY 10075",
458,"178 EAST 80TH ST New York, NY 10075",
459,"161 EAST 79TH STREET New York, NY 10075",
460,"428 EAST 84TH   STREET                    New York, NY 10028",
461,"340 EAST 83RD STREET New York, NY 10028",
462,"61 EAST 77TH STREET New York, NY 10075",
463,"226 EAST 81ST STREET New York, NY 10028",
464,"7 EAST 76TH   STREET                      New York, NY 10021",
465,"201 EAST 80TH New York, NY 10075",
466,"136 EAST 79TH STREET New York, NY 10075",
467,"228 EAST 81ST STREET                      New York, NY 10028",
468,"215 EAST 80TH   STREET                    New York, NY 10075",
469,"234 EAST 81ST   STREET                    New York, NY 10028",
470,"236 E. 81ST STREET                        New York, NY 10028",
471,"444 EAST 84 STREET New York, NY 10028",
472,"223 EAST 80TH   STREET                    New York, NY 10075",
473,"351 EAST 82ND   STREET                    New York, NY 10028",
474,"987 MADISON AVENUE                        New York, NY 10075",
475,"50 EAST 77TH STREET                       New York, NY 10075",
476,"50 EAST 77TH STREET New York, NY 10075",
477,"179 EAST 79TH   STREET New York, NY 10075",
478,"448 EAST 84TH   STREET New York, NY 10028",
479,"427 EAST 83RD   STREET                    New York, NY 10028",
480,"860 PARK AVENUE New York, NY 10075",
481,"860 PARK AVE. New York, NY 10075",
482,"127 EAST 78TH STREET                      New York, NY 10075",
483,"528 EAST 85TH   STREET                    New York, NY 10028",
484,"530 EAST 85TH STREET New York, NY 10028",
485,"530 EAST 85TH   STREET New York, NY 10028",
486,"6 EAST 76TH STREET New York, NY 10021",
487,"1555 2 AVENUE                             New York, NY 10028",
488,"402 EAST 83RD STREET                      New York, NY 10028",
489,"120 EAST END AVENUE New York, NY 10028",
490,"156 EAST 79TH STREET New York, NY 10075",
491,"70 EAST 77TH STREET New York, NY 10075",
492,"70 EAST 77TH   STREET New York, NY 10075",
493,"944 5 AVE                                 New York, NY 10021",
494,"108 EAST 78TH STREET New York, NY 10075",
495,"536 EAST 85TH   STREET                    New York, NY 10028",
496,"1571 YORK AVENUE New York, NY 10028",
497,"1556 2 AVENUE                             New York, NY 10028",
498,"863 PARK AVE New York, NY 10075",
499,"222 EAST 80TH   STREET                    New York, NY 10075",
500,"222 EAST 80TH New York, NY 10075",
501,"222 EAST 80TH STREET New York, NY 10075",
502,"350 EAST 82ND STREET New York, NY 10028",
503,"180 E 79TH ST New York, NY 10075",
504,"180 EAST 79TH ST New York, NY 10075",
505,"201 EAST 79TH STREET New York, NY 10075",
506,"201 EAST 79TH ST New York, NY 10075",
507,"850 PARK AVENUE New York, NY 10075",
508,"416 EAST 83 New York, NY 10028",
509,"416-18 EAST 83RD STREET New York, NY 10028",
510,"155 EAST 78TH STREET                      New York, NY 10075",
511,"149 EAST 78TH STREET                      New York, NY 10075",
512,"418 EAST 83RD   STREET New York, NY 10028",
513,"1567 YORK AVENUE New York, NY 10028",
514,"405 EAST 82ND ST New York, NY 10028",
515,"9 EAST 75TH   STREET                      New York, NY 10021",
516,"9 EAST 75TH STREET                        New York, NY 10021",
517,"318 EAST 81ST   STREET                    New York, NY 10028",
518,"527 EAST 84TH STREET New York, NY 10028",
519,"1544 SECOND AVENUE                        New York, NY 10028",
520,"936 FIFTH AVENUE New York, NY 10021",
521,"936 5 AVENUE New York, NY 10021",
522,"529 EAST 84TH STREET New York, NY 10028",
523,"215 EAST 79TH STREET New York, NY 10075",
524,"215 EAST 79 STREET New York, NY 10075",
525,"531 EAST 84TH STREET New York, NY 10028",
526,"510 E 84 ST New York, NY 10028",
527,"30 EAST 76 STREET New York, NY 10021",
528,"15 EAST 75TH   STREET                     New York, NY 10021",
529,"11 EAST 75TH   STREET                     New York, NY 10021",
530,"169 EAST 78TH STREET New York, NY 10075",
531,"345 EAST 81 STREET New York, NY 10028",
532,"345 EAST 81STREET New York, NY 10028",
533,"345 EAST 81ST STREET New York, NY 10028",
534,"345 E 81ST STREET New York, NY 10028",
535,"840 PARK AVENUE New York, NY 10075",
536,"415 EAST 82ND STREET New York, NY 10028",
537,"225 EAST 79TH STREET New York, NY 10075",
538,"450 EAST 83RD STREET New York, NY 10028",
539,"450 EAST 83RD STREET                      New York, NY 10028",
540,"450 EAST 83RD   STREET New York, NY 10028",
541,"423 EAST 82ND   STREET                    New York, NY 10028",
542,"423 EAST 82ND STREET New York, NY 10028",
543,"1113 LEXINGTON AVENUE                     New York, NY 10075",
544,"154 EAST 78TH STREET                      New York, NY 10075",
545,"505 EAST 83RD STREET New York, NY 10028",
546,"505 EAST 83RD New York, NY 10028",
547,"530 EAST 84 STREET New York, NY 10028",
548,"930 5TH AVENUE New York, NY 10021",
549,"237 EAST 79TH STREET New York, NY 10075",
550,"315 EAST 80TH STREET New York, NY 10075",
551,"431 EAST 82ND   STREET New York, NY 10028",
552,"14 EAST 75TH STREET New York, NY 10021",
553,"170 E 78TH STREET New York, NY 10075",
554,"239 EAST 79TH STREET New York, NY 10075",
555,"35 EAST 75TH STREET New York, NY 10021",
556,"830 PARK AVENUE New York, NY 10021",
