Full Address,LatLong
"1641 THIRD AVENUE New York, NY 10128","[40.78231820000001, -73.9510067]"
"1641 THIRD AVENUE                         New York, NY 10128","[40.78231820000001, -73.9510067]"
"1641 3 AVENUE                             New York, NY 10128","[40.78231820000001, -73.9510067]"
"1641 THIRD AVE New York, NY 10128","[40.78231820000001, -73.9510067]"
"50 EAST 89TH   STREET New York, NY 10128","[40.7822981, -73.9568829]"
"50 EAST 89 New York, NY 10128","[40.7822981, -73.9568829]"
"50 EAST 89TH STREET New York, NY 10128","[40.7822981, -73.9568829]"
"50 EAST 89 ST New York, NY 10128","[40.7822981, -73.9568829]"
"160 EAST 91ST STREET New York, NY 10128","[40.7822552, -73.9528356]"
"160 E 91 STREET New York, NY 10128","[40.7822552, -73.9528356]"
"160 EAST 91 STREET New York, NY 10128","[40.7822552, -73.9528356]"
"47 EAST 88TH STREET New York, NY 10128","[40.7822272, -73.9575194]"
"114 EAST 90TH STREET New York, NY 10128","[40.7821142, -73.95441989999999]"
"1105 PARK AVENUE New York, NY 10128","[40.7820905, -73.9553383]"
"120 EAST 90TH STREET New York, NY 10128","[40.7820767, -73.9541161]"
"120 EAST 90TH   STREET                    New York, NY 10128","[40.7820767, -73.9541161]"
"1103 PARK AVENUE New York, NY 10128","[40.7820344, -73.955355]"
"1623 3RD AVENUE New York, NY 10128","[40.78201480000001, -73.9506693]"
"22 EAST 88TH STREET New York, NY 10128","[40.7819881, -73.9584149]"
"11 EAST 87TH New York, NY 10128","[40.7819602, -73.958897]"
"161 EAST 90TH STREET New York, NY 10128","[40.7819597, -73.9529275]"
"161 EAST 90TH ST New York, NY 10128","[40.7819597, -73.9529275]"
"1623 3 AVE                                New York, NY 10128","[40.7819416, -73.95063139999999]"
"1623 3 AVENUE New York, NY 10128","[40.7819416, -73.95063139999999]"
"1623 THIRD AVENUE                         New York, NY 10128","[40.7819416, -73.95063139999999]"
"300 EAST 93 ST.                           New York, NY 10128","[40.7819235, -73.94833539999999]"
"300 EAST 93 STREET                        New York, NY 10128","[40.7819235, -73.94833539999999]"
"300 EAST 93RD STREET New York, NY 10128","[40.7819235, -73.94833539999999]"
"40 EAST 88TH STREET New York, NY 10128","[40.78188360000001, -73.9576802]"
"1056 FIFTH AVENUE New York, NY 10028","[40.781854, -73.959666]"
"1768 SECOND AVENUE                        New York, NY 10128","[40.7817848, -73.94866309999999]"
"1082 PARK AVENUE New York, NY 10128","[40.7817844, -73.9564403]"
"21 EAST 87TH STREET New York, NY 10128","[40.7817638, -73.958585]"
"345 EAST 93RD New York, NY 10128","[40.7816977, -73.9466133]"
"345 EAST 93RD   STREET                    New York, NY 10128","[40.7816977, -73.9466133]"
"345 EAST 93 STREET New York, NY 10128","[40.7816977, -73.9466133]"
"60 EAST 88TH   STREET                     New York, NY 10128","[40.78168950000001, -73.9572204]"
"1766 SECOND AVENUE                        New York, NY 10128","[40.781684, -73.948549]"
"181 EAST 90TH   STREET                    New York, NY 10128","[40.78164630000001, -73.9522157]"
"1342 LEXINGTON AVENUE New York, NY 10128","[40.7816252, -73.9542362]"
"12 EAST 87TH ST New York, NY 10128","[40.7816006, -73.9590807]"
"322 EAST 93RD   STREET                    New York, NY 10128","[40.7815839, -73.9474399]"
"334 EAST 93RD   STREET                    New York, NY 10128","[40.78144289999999, -73.9469233]"
"1601 3 AVENUE                             New York, NY 10128","[40.78140580000001, -73.9514806]"
"1619 3 AVENUE New York, NY 10128","[40.7813692, -73.9510781]"
"1619 THIRD AVE New York, NY 10128","[40.7813692, -73.9510781]"
"1760 2 AVENUE                             New York, NY 10128","[40.7813622, -73.9488635]"
"1178 MADISON AVENUE New York, NY 10028","[40.78134499999999, -73.9589466]"
"55 EAST 87 New York, NY 10128","[40.7813394, -73.9572439]"
"1048 5 AVENUE                             New York, NY 10028","[40.781264, -73.9603267]"
"11 EAST 86TH   STREET New York, NY 10028","[40.781257, -73.9592414]"
"11 EAST 86 STREET New York, NY 10028","[40.781257, -73.9592414]"
"11 EAST 86TH STREET New York, NY 10028","[40.781257, -73.9592414]"
"1060 PARK AVENUE New York, NY 10128","[40.7812136, -73.9570373]"
"1075 PARK AVE New York, NY 10128","[40.7811822, -73.95619479999999]"
"1075 PARK AVENUE New York, NY 10128","[40.7811822, -73.95619479999999]"
"121 EAST 88TH STREET New York, NY 10128","[40.7811809, -73.954939]"
"333 EAST 92ND ST New York, NY 10128","[40.7811655, -73.9472103]"
"123 EAST 88TH STREET New York, NY 10128","[40.7811511, -73.95497089999999]"
"331 EAST 92ND STREET New York, NY 10128","[40.7811466, -73.9473481]"
"1049 5 AVENUE New York, NY 10028","[40.7810879, -73.9598154]"
"1049 5TH AVENUE                           New York, NY 10028","[40.7810879, -73.9598154]"
"56 EAST 87TH STREET New York, NY 10128","[40.7810736, -73.9576802]"
"56 EAST 87TH   STREET New York, NY 10128","[40.7810736, -73.9576802]"
"343 EAST 92ND   STREET New York, NY 10128","[40.7810688, -73.94707249999999]"
"305 EAST 91ST STREET New York, NY 10128","[40.7810133, -73.9487831]"
"305 EAST 91 ST New York, NY 10128","[40.7810133, -73.9487831]"
"340 E 93RD                                New York, NY 10128","[40.781007, -73.94677399999999]"
"340 EAST 93 STREET New York, NY 10128","[40.781007, -73.94677399999999]"
"340 EAST 93RD ST New York, NY 10128","[40.781007, -73.94677399999999]"
"340 EAST 93 New York, NY 10128","[40.781007, -73.94677399999999]"
"340 E. 93RD STREET New York, NY 10128","[40.781007, -73.94677399999999]"
"204 EAST 90TH   STREET New York, NY 10128","[40.7809573, -73.9517106]"
"206 EAST 90TH STREET New York, NY 10128","[40.7809442, -73.9516187]"
"62 EAST 87TH STREET New York, NY 10128","[40.7809383, -73.9575424]"
"55 EAST 86TH STREET                       New York, NY 10028","[40.7808754, -73.9581853]"
"1587 THIRD AVENUE New York, NY 10128","[40.7807847, -73.9521239]"
"61 EAST 86TH STREET New York, NY 10028","[40.7807591, -73.9579098]"
"141 EAST 88TH STREET                      New York, NY 10128","[40.7807557, -73.95431]"
"141 EAST 88TH STREET New York, NY 10128","[40.7807557, -73.95431]"
"203 EAST 89TH STREET New York, NY 10128","[40.7807134, -73.9518942]"
"115 EAST 87 STREET New York, NY 10028","[40.7806817, -73.95568]"
"161 EAST 88TH STREET New York, NY 10128","[40.780652, -73.9536849]"
"1040 PARK AVENUE New York, NY 10028","[40.78053, -73.9575194]"
"215 EAST 89TH STREET New York, NY 10128","[40.780516, -73.9514109]"
"244 EAST 90TH   STREET New York, NY 10128","[40.780494, -73.9506]"
"200 EAST 89TH STREET New York, NY 10128","[40.78048829999999, -73.95233999999999]"
"200 EAST 89TH   STREET                    New York, NY 10128","[40.78048829999999, -73.95233999999999]"
"1049 PARK AVENUE New York, NY 10028","[40.780486, -73.9565322]"
"217 EAST 89TH STREET New York, NY 10128","[40.7804721, -73.9514203]"
"246 EAST 90TH STREET New York, NY 10128","[40.780461, -73.95052299999999]"
"110 EAST 87TH STREET New York, NY 10128","[40.7804112, -73.95614189999999]"
"333 E 91ST                                New York, NY 10128","[40.7803429, -73.947266]"
"64 EAST 86TH STREET New York, NY 10028","[40.780299, -73.95824]"
"1045 PARK AVENUE New York, NY 10028","[40.7802712, -73.9567847]"
"68 EAST 86TH STREET New York, NY 10028","[40.7802499, -73.95805899999999]"
"159 EAST 87TH   STREET                    New York, NY 10128","[40.780178, -73.95451]"
"30 EAST 85 STREET                         New York, NY 10028","[40.780166, -73.9596143]"
"30 EAST 85TH   STREET New York, NY 10028","[40.780166, -73.9596143]"
"350 EAST 91ST STREET New York, NY 10128","[40.7801254, -73.94776139999999]"
"120 EAST 87 STREET New York, NY 10128","[40.7801056, -73.9554588]"
"120 E 87TH STREET New York, NY 10128","[40.7801056, -73.9554588]"
"120 EAST 87TH STREET New York, NY 10128","[40.7801056, -73.9554588]"
"35 E 85TH STREET New York, NY 10028","[40.7800826, -73.9587133]"
"205 EAST 88TH STREET New York, NY 10128","[40.7800459, -73.9523535]"
"1724 2 AVENUE New York, NY 10128","[40.7800337, -73.9498278]"
"1724 SECOND AVENUE New York, NY 10128","[40.7800337, -73.9498278]"
"1724 2 AVENUE                             New York, NY 10128","[40.7800337, -73.9498278]"
"123 EAST 86 STREET                        New York, NY 10028","[40.7799447, -73.9559811]"
"335 EAST 90TH   STREET New York, NY 10128","[40.7799059, -73.94803399999999]"
"38 EAST 85TH STREET New York, NY 10028","[40.7799054, -73.95907799999999]"
"1035 PARK AVE New York, NY 10028","[40.7798475, -73.9570602]"
"252 EAST 89TH ST New York, NY 10128","[40.77982550000001, -73.9508725]"
"320 EAST 90TH STREET New York, NY 10128","[40.7797997, -73.9487257]"
"18 EAST 84TH STREET New York, NY 10028","[40.7796824, -73.9603341]"
"170 EAST 87TH STREET New York, NY 10128","[40.7796551, -73.9539686]"
"170 EAST 87TH STREET                      New York, NY 10128","[40.7796551, -73.9539686]"
"1025 5TH AVENUE New York, NY 10028","[40.77960969999999, -73.9614914]"
"1025 FIFTH AVENUE New York, NY 10028","[40.77960969999999, -73.9614914]"
"330 EAST 90TH STREET New York, NY 10128","[40.7795997, -73.94840429999999]"
"313 EAST 89TH   STREET New York, NY 10128","[40.7795986, -73.9493456]"
"210 EAST 88TH STREET New York, NY 10128","[40.7795895, -73.95239939999999]"
"233 E 88TH ST New York, NY 10128","[40.779587, -73.95129730000001]"
"1020 FIFTH AVENUE New York, NY 10028","[40.7795862, -73.9614424]"
"214 EAST 88TH STREET New York, NY 10128","[40.7795634, -73.9522157]"
"151 EAST 86TH   STREET                    New York, NY 10028","[40.7795294, -73.95498429999999]"
"20 EAST 84TH STREET New York, NY 10028","[40.779518, -73.960334]"
"111 EAST 85TH STREET New York, NY 10028","[40.7794706, -73.95671589999999]"
"111 EAST 85TH ST New York, NY 10028","[40.7794706, -73.95671589999999]"
"111 EAST 85 New York, NY 10028","[40.7794706, -73.95671589999999]"
"111 EAST 85TH New York, NY 10028","[40.7794706, -73.95671589999999]"
"111 E. 85TH STREET New York, NY 10028","[40.7794706, -73.95671589999999]"
"1703 2 AVENUE                             New York, NY 10128","[40.77945760000001, -73.95092989999999]"
"17 EAST 83RD STREET New York, NY 10028","[40.7793589, -73.96074519999999]"
"17 EAST 83RD   STREET New York, NY 10028","[40.7793589, -73.96074519999999]"
"1115 MADISON AVENUE New York, NY 10028","[40.77933609999999, -73.9598041]"
"1016 FIFTH AVENUE New York, NY 10028","[40.7793023, -73.9615353]"
"312 EAST 89TH STREET New York, NY 10128","[40.7792616, -73.9495523]"
"227 EAST 87TH New York, NY 10128","[40.7791922, -73.9522501]"
"227 EAST 87TH  STREET New York, NY 10128","[40.7791922, -73.9522501]"
"400 EAST 90 STREET                        New York, NY 10128","[40.7791831, -73.9472423]"
"389 EAST 89TH   STREET New York, NY 10128","[40.7791072, -73.94832989999999]"
"214 EAST 87TH STREET                      New York, NY 10128","[40.7791042, -73.9527501]"
"8 EAST 83 STREET New York, NY 10028","[40.779101, -73.961095]"
"8 EAST 83RD STREET New York, NY 10028","[40.779101, -73.961095]"
"417 EAST 90TH STRET New York, NY 10128","[40.7790902, -73.9463148]"
"417 EAST 90 STREET New York, NY 10128","[40.7790902, -73.9463148]"
"417 EAST 90TH STREET New York, NY 10128","[40.7790902, -73.9463148]"
"305 EAST 88TH STREET New York, NY 10128","[40.779053, -73.949901]"
"305 EAST 88TH New York, NY 10128","[40.779053, -73.949901]"
"235 EAST 87 New York, NY 10128","[40.7790388, -73.9519172]"
"235 EAST 87 STREET New York, NY 10128","[40.7790388, -73.9519172]"
"235 EAST 87TH ST New York, NY 10128","[40.7790388, -73.9519172]"
"427 EAST 90TH   STREET                    New York, NY 10128","[40.77902479999999, -73.9458556]"
"348 EAST 89TH STREET New York, NY 10128","[40.7789511, -73.9487257]"
"402 EAST 90TH STREET New York, NY 10128","[40.7789502, -73.9469577]"
"402 EAST 90TH   STREET                    New York, NY 10128","[40.7789502, -73.9469577]"
"1001 PARK AVENUE New York, NY 10028","[40.7789265, -73.95777199999999]"
"220 EAST 87 New York, NY 10128","[40.7789089, -73.9527667]"
"245 EAST 87 New York, NY 10128","[40.7788992, -73.9513432]"
"245 EAST 87 STREET New York, NY 10128","[40.7788992, -73.9513432]"
"360 EAST 89TH   STREET New York, NY 10128","[40.7788478, -73.9482829]"
"1717 1 AVENUE                             New York, NY 10128","[40.7788169, -73.94830999999999]"
"401 EAST 89TH   STREET                    New York, NY 10128","[40.7788108, -73.9473227]"
"401 EAST 89TH STREET New York, NY 10128","[40.7788108, -73.9473227]"
"151 EAST 85 STREET New York, NY 10028","[40.7787889, -73.9556509]"
"1095 MADISON AVENUE New York, NY 10028","[40.7786722, -73.960124]"
"119 EAST 84 STREET New York, NY 10028","[40.778661, -73.957104]"
"119 EAST 84TH STREET New York, NY 10028","[40.778661, -73.957104]"
"40 EAST 83RD New York, NY 10028","[40.7786583, -73.9600909]"
"302 EAST 88TH STREET New York, NY 10128","[40.7786493, -73.9502641]"
"1001 5TH AVENUE New York, NY 10028","[40.7786406, -73.962272]"
"242 EAST 87 STREET New York, NY 10128","[40.778605, -73.95198610000001]"
"231 EAST 86TH STREET New York, NY 10028","[40.7785762, -73.9524301]"
"46 EAST 83RD   STREET                     New York, NY 10028","[40.778529, -73.95995099999999]"
"250 EAST 87 ST New York, NY 10028","[40.7785204, -73.9518234]"
"225 EAST 86 STREET                        New York, NY 10028","[40.7785182, -73.95281030000001]"
"225 EAST 86TH   STREET New York, NY 10028","[40.7785182, -73.95281030000001]"
"225 EAST 86TH STREET New York, NY 10028","[40.7785182, -73.95281030000001]"
"150 EAST 85TH   STREET                    New York, NY 10028","[40.7785105, -73.9559544]"
"48 EAST 83RD STREET New York, NY 10028","[40.778506, -73.95989999999999]"
"233 EAST 86TH   STREET New York, NY 10028","[40.778503, -73.952533]"
"233 EAST 86TH ST New York, NY 10028","[40.778503, -73.952533]"
"355 EAST 88TH STREET                      New York, NY 10128","[40.7783425, -73.9485435]"
"1725 YORK AVENUE New York, NY 10128","[40.7782664, -73.94594740000001]"
"45 EAST 82ND STREET New York, NY 10028","[40.7782628, -73.9603791]"
"124 EAST 84TH ST New York, NY 10028","[40.7782179, -73.9571291]"
"124 EAST 84TH STREET New York, NY 10028","[40.7782179, -73.9571291]"
"145 EAST 84TH STREET New York, NY 10028","[40.7782061, -73.95621919999999]"
"360 EAST 88 STREET                        New York, NY 10128","[40.7781672, -73.94890939999999]"
"983 PARK AVENUE New York, NY 10028","[40.7781265, -73.95797859999999]"
"339 EAST 87TH   STREET                    New York, NY 10128","[40.7781032, -73.9497475]"
"1082 MADISON AVENUE New York, NY 10028","[40.7780439, -73.9611704]"
"995 FIFTH AVENUE New York, NY 10028","[40.7780435, -73.96268529999999]"
"520 EAST 90 STREET New York, NY 10128","[40.7779695, -73.9442984]"
"305-315 EAST 86 STREET                    New York, NY 10028","[40.77794180000001, -73.95078529999999]"
"975 PARK AVENUE New York, NY 10028","[40.7779248, -73.958323]"
"975 PARK AVE New York, NY 10028","[40.7779248, -73.958323]"
"1080 MADISON AVENUE New York, NY 10028","[40.7779148, -73.9611663]"
"960 PARK AVENUE New York, NY 10028","[40.7778882, -73.9594553]"
"171 EAST 84TH STREET New York, NY 10028","[40.7778496, -73.9553043]"
"171 EAST 84 STREET                        New York, NY 10028","[40.7778496, -73.9553043]"
"171 EAST 84ST                             New York, NY 10028","[40.7778496, -73.9553043]"
"171 EAST 84TH   STREET New York, NY 10028","[40.7778496, -73.9553043]"
"404-406 EAST 88TH   STREET                New York, NY 10128","[40.7777995, -73.9479561]"
"148 EAST 84TH STREET New York, NY 10028","[40.7777721, -73.9561648]"
"530 EAST 90TH STREET New York, NY 10128","[40.7777474, -73.9439269]"
"410 EAST 88TH   STREET                    New York, NY 10128","[40.7777469, -73.9478532]"
"46 EAST 82ND   STREET                     New York, NY 10028","[40.7777275, -73.95998759999999]"
"515 EAST 89TH   STREET New York, NY 10128","[40.777715, -73.94479]"
"344 E 87TH STREET New York, NY 10128","[40.777712, -73.94984199999999]"
"344 EAST 87TH STREET New York, NY 10128","[40.777712, -73.94984199999999]"
"112 EAST 83RD STREET New York, NY 10028","[40.7776476, -73.9580016]"
"218 EAST 85 STREET New York, NY 10028","[40.7776443, -73.9536392]"
"216 EAST 85TH STREET New York, NY 10028","[40.7776141, -73.9537655]"
"120 EAST 83RD   STREET New York, NY 10028","[40.7776132, -73.95769159999999]"
"135 EAST 83RD STREET New York, NY 10028","[40.7775765, -73.95669749999999]"
"135 EAST 83RD New York, NY 10028","[40.7775765, -73.95669749999999]"
"403 EAST 87TH STREET New York, NY 10128","[40.7775743, -73.9482665]"
"128 EAST 83 STREET New York, NY 10028","[40.7775627, -73.95740459999999]"
"1665 FIRST AVENUE                         New York, NY 10028","[40.7775186, -73.9492308]"
"312 EAST 86TH   STREET                    New York, NY 10028","[40.7774373, -73.9511763]"
"525 EAST 89TH STREET New York, NY 10128","[40.7774193, -73.9442202]"
"151 EAST 83RD STREET New York, NY 10028","[40.7774024, -73.95614189999999]"
"1220 LEXINGTON AVENUE                     New York, NY 10028","[40.7773633, -73.9573587]"
"1064 MADISON AVENUE                       New York, NY 10028","[40.7773599, -73.9616751]"
"446 EAST 88TH   STREET                    New York, NY 10128","[40.77732659999999, -73.946797]"
"520 EAST 89TH   STREET                    New York, NY 10128","[40.7773155, -73.94482239999999]"
"955 PARK AVENUE New York, NY 10028","[40.7772381, -73.95891999999999]"
"1474 3 AVENUE                             New York, NY 10028","[40.7772338, -73.955499]"
"200 EAST 84TH   STREET New York, NY 10028","[40.7772227, -73.9546737]"
"140 EAST 83RD STREET New York, NY 10028","[40.7772189, -73.9568142]"
"140 EAST 83 STREET New York, NY 10028","[40.7772189, -73.9568142]"
"305 EAST 85TH STREET New York, NY 10028","[40.7772091, -73.9516646]"
"307 EAST 85TH   STREET                    New York, NY 10028","[40.7771961, -73.9515728]"
"148 EAST 83RD STREET New York, NY 10028","[40.7771561, -73.95671589999999]"
"150 EAST 83RD STREET New York, NY 10028","[40.7771431, -73.95662399999999]"
"509 EAST 88TH STREET New York, NY 10128","[40.777124, -73.9453734]"
"129 EAST 82ND STREET New York, NY 10028","[40.7771228, -73.9576478]"
"152 EAST 83 STREET New York, NY 10028","[40.777093, -73.956552]"
"212 EAST 84TH STREET New York, NY 10028","[40.7770851, -73.95418339999999]"
"980 FIFTH AVE New York, NY 10075","[40.7770753, -73.963133]"
"980 FIFTH AVENUE New York, NY 10075","[40.7770753, -73.963133]"
"45 EAST 80TH STREET                       New York, NY 10075","[40.777008, -73.961196]"
"45 EAST 80TH   STREET                     New York, NY 10075","[40.777008, -73.961196]"
"208 EAST 84 STREET New York, NY 10028","[40.776972, -73.954278]"
"443 EAST 87TH STREET                      New York, NY 10128","[40.7769622, -73.9470151]"
"941 PARK AVENUE New York, NY 10028","[40.7769568, -73.9591257]"
"26 EAST 80TH   STREET                     New York, NY 10075","[40.7769426, -73.9619965]"
"122 EAST 82ND ST New York, NY 10028","[40.7769277, -73.9580934]"
"335 EAST 85TH STREET New York, NY 10028","[40.7768666, -73.950884]"
"59 EAST 80TH   STREET                     New York, NY 10075","[40.776843, -73.960666]"
"504 EAST 88TH   STREET                    New York, NY 10128","[40.7768356, -73.9457867]"
"201 EAST 83RD New York, NY 10028","[40.7768266, -73.9550544]"
"201 EAST 83RD STREET New York, NY 10028","[40.7768266, -73.9550544]"
"300 EAST 85TH STREET New York, NY 10028","[40.776824, -73.9519402]"
"323 EAST 85TH   STREET                    New York, NY 10028","[40.7768091, -73.95102179999999]"
"529 EAST 88TH STREET New York, NY 10128","[40.7767814, -73.9445927]"
"1619 2 AVENUE New York, NY 10028","[40.776779, -73.952904]"
"21 EAST 79TH STREET New York, NY 10075","[40.776776, -73.962465]"
"159 EAST 82ND STREET New York, NY 10028","[40.7767591, -73.95670439999999]"
"339 EAST 85TH STREET New York, NY 10028","[40.7767568, -73.95065439999999]"
"444 EAST 87TH STREET New York, NY 10128","[40.7767427, -73.9473021]"
"444 EAST 87TH ST New York, NY 10128","[40.7767427, -73.9473021]"
"238 EAST 84TH STREET New York, NY 10028","[40.77673100000001, -73.95345549999999]"
"163 EAST 82ND STREET                      New York, NY 10028","[40.7767042, -73.9565896]"
"312 EAST 85TH STREET                      New York, NY 10028","[40.7767011, -73.9516187]"
"40 EAST 80TH STREET New York, NY 10075","[40.776681, -73.96140299999999]"
"1628 SECOND AVENUE New York, NY 10028","[40.7766769, -73.9522616]"
"180 EAST END AVENUE New York, NY 10128","[40.7766673, -73.9439269]"
